country,sector,alias,blurb
Zimbabwe,Mining,ZWE,"Zimbabwe's gold mining sector scores 29 of 100 points and ranks 81st of 89 assessments in the 2017 Resource Governance Index (RGI). Its failing performance is driven by an enabling environment that is characterized by failing institutions. Zimbabwe's gold mining sector contributes 23 percent to the country's total exportsand its gold reserves total nearly seven million ounces.
"
Zambia,Mining,ZMB," Zambia's copper mining sector scores 50 of 100 points in the 2017 Resource Governance Index (RGI), ranking 40th among 89 index assessments and 11th within the sub-Saharan Africa region. This overall weak score is particularly impacted by poor revenue management. As a middle-income country with 16 million inhabitants, Zambia has a gross domestic product per capita of just above USD 100. Mining constitutes 78 percent of Zambia's total exports making it one of the most resource-dependent member countries of the Extractive Industries Transparency Initiative (EITI). The mining sector contributes one fifth of government revenues and in the absence of significant diversification, its governance is likely to remain of strategic importance to Zambia.
"
Yemen,Oil and Gas,YEM,"Yemen's oil and gas sector scores 30 of 100 points and ranks 78th of 89 assessments in the 2017 Resource Governance Index (RGI). Yemen's poor performance can be attributed to a failing enabling environment created by an armed conflict that has split the country into two separately controlled areas and left the population on the brink of famine. Yemen is hobbled by political instability, government ineffectiveness and corruption. Yemen's modest oil production is also impacted by the conflict, though oil and gas constitute a fraction of the country's total exports. The straits off the Yemeni coast are important trade routes for oil from neighboring countries, and the conflict may impact regional oil trade by destabilizing these routes.
"
Vietnam,Oil and Gas,VNM,"Vietnam's largely state-controlled oil and gas sector scores 48 of 100 points and ranks 45th of 89 assessments in the 2017 Resource Governance Index (RGI). This result is driven by weak performance in the enabling environment component. The country has oil reserves of four billion barrelsand gas reserves of 25 trillion cubic feet, which combined constitutes 6 percent of Vietnam's exports.
"
Venezuela,Oil and Gas,VEN,"Venezuela's oil and gas sector scores 33 of 100 points and ranks 74th of 89 assessments in the 2017 Resource Governance Index (RGI). This poor performance is driven by its failing enabling environment where Venezuela ranks 80th with a score of 17. Venezuela has the world's largest oil reserves&mdash;300 billion barrels of oiland 200 trillion cubic feet of gas &mdash;and the oil and gas sector constitutes 98 percent of total exports. As the most resource-dependent country in the Latin American and Caribbean region, the poor governance of the natural resource sector has dire impacts on Venezuela's economic development and political stability.
"
Uzbekistan,Oil and Gas,UZB,"Uzbekistan's oil and gas sector scores 29 of 100 points and ranks 80th of 89 assessments in the 2017 Resource Governance Index (RGI). The country's enabling environment accounts for its failing scores in the index. Uzbekistan has reserves of just below 600 million barrels of oiland gas reserves totaling to 65 trillion cubic feet. There is little data available on the sector's share of total exports, economic activity or government revenues.
"
United States of America (Gulf of Mexico),Oil and Gas,USA,"The United States of America's (US) oil and gas sector scores 74 of 100 in the 2017 Resource Governance Index (RGI), ranking fifth among 89 assessments. This assessment focuses on the Gulf of Mexico, the US's main oil producing area. The US as a whole produces 16percent of the world's oil, and following a shale gas revolution, over 20 percent of the world's natural gas. As home to some of the world's largest oil companies, the impacts of resource governance in the US reverberate well beyond the operations taking place on or off the coast of the Gulf of Mexico. The US has led the way in setting a better standard of resource governance in some instances; the Foreign Corrupt Practices Act is cited as having significantly improved how US-headquartered extraction companies operate around the world. Furthermore, section 1504 of the 2010 Dodd-Frank Act promised to increase transparency of company-government financial relations.Its implementation has been subject to major delays which has been aggravated by the recent disapproval of the Securities and Exchange Commission's (SEC) implementing rule in early 2017.
"
United Kingdom,Oil and Gas,UK,"The United Kingdom's (UK) oil and gas sector scores 77 of 100 in the 2017 Resource Governance Index (RGI), ranking third among 89 index assessments. This result can be attributed to the UK's good enabling environment, which scores 95 of 100 and ranks fourth in the index. The UK has proven oil reserves of 200 million barrelsand gas reserves of 7 trillion cubic feet. The oil and gas sector constitutes eight percent of the UK's exports. Many global oil companies are headquartered in London and the UK government's recent progress in mandatory disclosure requirements has the potential to positively impact transparency on payments by oil companies to governments around the world. Compared to the 55 oil and gas sector assesments in the index, the UK is second only to Norway's in the index. It could improve by disclosing details of licensing, ownership and environmental documentation.
"
United Arab Emirates,Oil and Gas,UAE,"The oil and gas sector in the United Arab Emirates (UAE) scores 42 of 100 points and ranks 54th of 89 assessments in the 2017 Resource Governance Index (RGI). Its poor overall performance is driven by a failing score in revenue management (16 of 100). The UAE is currently the eight-largest petroleum producer in the world; over 90 percent of its proven reserves (98 billion barrels of oil and 215 trillion cubic feet of gas) are in Abu Dhabi. Each emirate controls the oil resources in its territory and sets the laws and policies for its oil and gas sector development. In Abu Dhabi, the Supreme Petroleum Council (SPC) sets Abu Dhabi's petroleum policies and the Abu Dhabi National Oil Company (ADNOC) runs the day-to-day operations. The sector constitutes 43 percent of the country's exports.
"
Ukraine,Oil and Gas,UKR,"Ukraine's oil and gas sector scores a weak 49 of 100 and ranks 44th among 89 assessments in the 2017 Resource Governance Index (RGI). Satisfactory performance in value realization is offset by poor performance in revenue management. Ukraine&#39;s hydrocarbon reserves amount to 395 million barrels of oil and 39 trillion cubic feet of gas. In 2014, Ukraine ranked fourth in Europe by volume of gas produced. Nevertheless, it is a net importer of natural gas and has historically been dependent on Russian gas. The annexation of Crimea by Russia in 2014 and the resulting tension between the two countries prompted Ukraine to diversify its gas sources. Following a 2015 government decree, the state-owned enterprise (SOE), Naftogaz, is required to sell its production to domestic refineries and is only allowed to export the surplus.
"
