country,alias
Afghanistan,Afghanistan
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Australia (Western),Australia
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Bolivia,Bolivia
Botswana,Botswana
Brazil,Brazil
Burkina Faso,Burkina Faso
Cambodia,Cambodia
Cameroon,Cameroon
Canada (Alberta),Canada
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Congo,Congo
Côte d'Ivoire,CDI
Cuba,Cuba
Democratic Republic of Congo,DRC
Ecuador,Ecuador
Egypt,Egypt
Equatorial Guinea,Eq Guinea
Eritrea,Eritrea
Ethiopia,Ethiopia
Gabon,Gabon
Ghana,Ghana
Guatemala,Guatemala
Guinea,Guinea
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Kazakhstan,Kazakhstan
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Liberia,Liberia
Libya,Libya
Madagascar,Madagascar
Malaysia,Malaysia
Mali,Mali
Mauritania,Mauritania
Mexico,Mexico
Mongolia,Mongolia
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Niger,Niger
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Papua New Guinea,PNG
Peru,Peru
Philippines,Philippines
Qatar,Qatar
Russia,Russia
Saudi Arabia,Saudi Arabia
Sierra Leone,Sierra Leone
South Africa,South Africa
South Sudan,South Sudan
Sudan,Sudan
Tanzania,Tanzania
Timor-Leste,Timor-Leste
Trinidad and Tobago,Trinidad
Tunisia,Tunisia
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,UAE
United Kingdom,UK
United States of America (Gulf of Mexico),USA
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Vietnam,Vietnam
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
