country,sector,indicator,subComponent,component,score
Afghanistan,Mining,Control of corruption,Control of corruption,Enabling environment,9.7
Afghanistan,Mining,Government effectiveness,Government effectiveness,Enabling environment,12.1
Afghanistan,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,2.4
Afghanistan,Mining,Regulatory quality,Regulatory quality,Enabling environment,24.3
Afghanistan,Mining,Rule of law,Rule of law,Enabling environment,4.8
Afghanistan,Mining,Voice and accountability,Voice and accountability,Enabling environment,29.2
Afghanistan,Mining,Fiscal rule practice,National budgeting,Revenue management,50
Afghanistan,Mining,Fiscal rules,National budgeting,Revenue management,100
Afghanistan,Mining,National budget disclosure,National budgeting,Revenue management,60
Afghanistan,Mining,National debt disclosure,National budgeting,Revenue management,10
Afghanistan,Mining,Online data portal,National budgeting,Revenue management,50
Afghanistan,Mining,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,70
Afghanistan,Mining,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,100
Afghanistan,Mining,SWF financial reporting practice,Sovereign wealth funds,Revenue management,60
Afghanistan,Mining,SWF financial reporting rules,Sovereign wealth funds,Revenue management,25
Afghanistan,Mining,SWF investment practice,Sovereign wealth funds,Revenue management,0
Afghanistan,Mining,SWF investment rules,Sovereign wealth funds,Revenue management,50
Afghanistan,Mining,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,38.5
Afghanistan,Mining,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,38.5
Afghanistan,Mining,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,51.333333333333336
Afghanistan,Mining,Cadastre,Licensing,Value extraction,60
Afghanistan,Mining,Contract disclosure,Licensing,Value extraction,50
Afghanistan,Mining,Contract disclosure rules,Licensing,Value extraction,0
Afghanistan,Mining,Financial interest disclosure practice,Licensing,Value extraction,100
Afghanistan,Mining,Financial interest disclosure rules,Licensing,Value extraction,50
Afghanistan,Mining,Post-licensing round practice,Licensing,Value extraction,33.333333333333336
Afghanistan,Mining,Post-licensing round rules,Licensing,Value extraction,50
Afghanistan,Mining,Pre-licensing round practice,Licensing,Value extraction,60
Afghanistan,Mining,Pre-licensing round rules,Licensing,Value extraction,33.333333333333336
Afghanistan,Mining,Reserves disclosure,Licensing,Value extraction,80
Afghanistan,Mining,Compensation to land users and owners rules,Local impact,Value extraction,50
Afghanistan,Mining,EIA/SIA rules,Local impact,Value extraction,95
Afghanistan,Mining,Environmental compliance practice,Local impact,Value extraction,20
Afghanistan,Mining,Environmental compliance rules,Local impact,Value extraction,50
Afghanistan,Mining,Environmental mitigation plan rules,Local impact,Value extraction,100
Afghanistan,Mining,Commodity sale disclosures,State-owned enterprises,Value extraction,100
Afghanistan,Mining,Commodity sale rules,State-owned enterprises,Value extraction,66.66666666666667
Afghanistan,Mining,SOE corporate governance practice,State-owned enterprises,Value extraction,50
Afghanistan,Mining,SOE financial reporting practice,State-owned enterprises,Value extraction,36
Afghanistan,Mining,SOE financial reporting rules,State-owned enterprises,Value extraction,100
Afghanistan,Mining,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value extraction,50
Afghanistan,Mining,SOE production disclosure,State-owned enterprises,Value extraction,90
Afghanistan,Mining,SOE-government transfers disclosure,State-owned enterprises,Value extraction,100
Afghanistan,Mining,SOE-government transfers rules,State-owned enterprises,Value extraction,100
Afghanistan,Mining,Company payment disclosure,Taxation,Value extraction,16.666666666666668
Afghanistan,Mining,Company payment rules,Taxation,Value extraction,50
Afghanistan,Mining,EITI affiliation and reporting,Taxation,Value extraction,40
Afghanistan,Mining,Export disclosure,Taxation,Value extraction,83.33333333333333
Afghanistan,Mining,Production disclosure,Taxation,Value extraction,85
Afghanistan,Mining,Tax authority practice,Taxation,Value extraction,50
Afghanistan,Mining,Tax authority rules,Taxation,Value extraction,16.666666666666668
Afghanistan,Mining,Taxation rules,Taxation,Value extraction,83.33333333333333
Algeria,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,48.7
Algeria,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,52.4
