country,sector,alias
Zimbabwe,Mining,ZWE
Zambia,Mining,ZMB
Yemen,Oil and Gas,YEM
Vietnam,Oil and Gas,VNM
Venezuela,Oil and Gas,VEN
Uzbekistan,Oil and Gas,UZB
United States of America (Gulf of Mexico),Oil and Gas,USA
United Kingdom,Oil and Gas,UK
United Arab Emirates,Oil and Gas,UAE
Ukraine,Oil and Gas,UKR
Uganda,Oil and Gas,UGA
Turkmenistan,Oil and Gas,TKM
Tunisia,Oil and Gas,TUN
Tunisia,Mining,TUN
Trinidad and Tobago,Oil and Gas,TTO
Timor-Leste,Oil and Gas,TLS
Tanzania,Oil and Gas,TZA
Tanzania,Mining,TZA
Sudan,Oil and Gas,SDN
South Sudan,Oil and Gas,SSD
South Africa,Mining,ZAF
Sierra Leone,Mining,SLE
Saudi Arabia,Oil and Gas,SAU
Russia,Oil and Gas,RUS
Qatar,Oil and Gas,QAT
Philippines,Mining,PHL
Peru,Mining,PER
Papua New Guinea,Mining,PNG
Oman,Oil and Gas,OMN
Norway,Oil and Gas,NOR
Nigeria,Oil and Gas,NGA
Niger,Mining,NER
Myanmar,Oil and Gas,MMR
Myanmar,Mining,MMR
Mozambique,Oil and Gas,MOZ
Morocco,Mining,MAR
Mongolia,Mining,MNG
Mexico,Oil and Gas,MEX
Mexico,Mining,MEX
Mauritania,Mining,MRT
Mali,Mining,MLI
Malaysia,Oil and Gas,MYS
Madagascar,Mining,MDG
Libya,Oil and Gas,LBY
Liberia,Mining,LBR
Laos,Mining,LAO
Kyrgyzstan,Mining,KGZ
Kuwait,Oil and Gas,KWT
Kazakhstan,Oil and Gas,KAZ
Iraq,Oil and Gas,IRQ
Iran,Oil and Gas,IRN
Indonesia,Oil and Gas,IDN
Indonesia,Mining,IDN
India,Oil and Gas,IND
Guinea,Mining,GIN
Guatemala,Mining,GTM
Ghana,Oil and Gas,GHA
Ghana,Mining,GHA
Gabon,Oil and Gas,GAB
Ethiopia,Mining,ETH
Eritrea,Mining,ERI
Equatorial Guinea,Oil and Gas,GNQ
Egypt,Oil and Gas,EGY
Ecuador,Oil and Gas,ECU
Democratic Republic of Congo,Oil and Gas,DRC
Democratic Republic of Congo,Mining,DRC
Cuba,Oil and Gas,CUB
Côte d'Ivoire,Oil and Gas,CIV
Congo,Oil and Gas,COG
Colombia,Oil and Gas,COL
Colombia,Mining,COL
China,Oil and Gas,CHN
Chile,Mining,CHL
Chad,Oil and Gas,TCD
Canada (Alberta),Oil and Gas,CAN
Cameroon,Oil and Gas,CMR
Cambodia,Mining,KHM
Burkina Faso,Mining,BFA
Brazil,Oil and Gas,BRA
Botswana,Mining,BWA
Bolivia,Oil and Gas,BOL
Bangladesh,Oil and Gas,BGD
Bahrain,Oil and Gas,BHR
Azerbaijan,Oil and Gas,AZE
Australia (Western),Mining,AUS
Argentina,Oil and Gas,ARG
Angola,Oil and Gas,AGO
Algeria,Oil and Gas,DZA
Afghanistan,Mining,AFG
