country,sector,indicator,subComponent,component,score
Afghanistan,Mining,Control of corruption,Control of corruption,Enabling environment,9.7
Afghanistan,Mining,Government effectiveness,Government effectiveness,Enabling environment,12.1
Afghanistan,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,2.4
Afghanistan,Mining,Regulatory quality,Regulatory quality,Enabling environment,24.3
Afghanistan,Mining,Rule of law,Rule of law,Enabling environment,4.8
Afghanistan,Mining,Voice and accountability,Voice and accountability,Enabling environment,29.2
Algeria,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,48.7
Algeria,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,52.4
Algeria,Oil and Gas,Open Data Index,Open data,Enabling environment,20.3
Algeria,Oil and Gas,Open data inventory,Open data,Enabling environment,9.4
Algeria,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,21.9
Algeria,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,20.7
Algeria,Oil and Gas,Rule of law,Rule of law,Enabling environment,39
Algeria,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,46.3
Angola,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,7.3
Angola,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,25.6
Angola,Oil and Gas,Open data inventory,Open data,Enabling environment,12.9
Angola,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,47.5
Angola,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,30.4
Angola,Oil and Gas,Rule of law,Rule of law,Enabling environment,21.9
Angola,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,28
Argentina,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,57.3
Argentina,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,68.2
Argentina,Oil and Gas,Open Data Barometer,Open data,Enabling environment,55.5
Argentina,Oil and Gas,Open Data Index,Open data,Enabling environment,71.1
Argentina,Oil and Gas,Open data inventory,Open data,Enabling environment,35.2
Argentina,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,75.6
Argentina,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,28
Argentina,Oil and Gas,Rule of law,Rule of law,Enabling environment,41.4
Argentina,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,84.1
Australia (Western),Mining,Control of corruption,Control of corruption,Enabling environment,97.5
Australia (Western),Mining,Government effectiveness,Government effectiveness,Enabling environment,95.1
Australia (Western),Mining,Open Data Barometer,Open data,Enabling environment,92.5
Australia (Western),Mining,Open Data Index,Open data,Enabling environment,93.2
Australia (Western),Mining,Open data inventory,Open data,Enabling environment,91.7
Australia (Western),Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,93.9
Australia (Western),Mining,Regulatory quality,Regulatory quality,Enabling environment,97.5
Australia (Western),Mining,Rule of law,Rule of law,Enabling environment,96.3
Australia (Western),Mining,Voice and accountability,Voice and accountability,Enabling environment,96.3
Azerbaijan,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,36.5
Azerbaijan,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,60.9
Azerbaijan,Oil and Gas,Open Data Index,Open data,Enabling environment,55.9
Azerbaijan,Oil and Gas,Open data inventory,Open data,Enabling environment,83.5
Azerbaijan,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,40.2
Azerbaijan,Oil and Gas,Regulatory quality,Regulatory quality,Enabling environment,65.8
Azerbaijan,Oil and Gas,Rule of law,Rule of law,Enabling environment,53.6
Azerbaijan,Oil and Gas,Voice and accountability,Voice and accountability,Enabling environment,14.6
Bahrain,Oil and Gas,Control of corruption,Control of corruption,Enabling environment,85.3
Bahrain,Oil and Gas,Government effectiveness,Government effectiveness,Enabling environment,87.8
Bahrain,Oil and Gas,Open Data Barometer,Open data,Enabling environment,48.1
Bahrain,Oil and Gas,Open Data Index,Open data,Enabling environment,55.9
Bahrain,Oil and Gas,Open data inventory,Open data,Enabling environment,60
Bahrain,Oil and Gas,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,18.2
