questionID,question,lawPractice,questionLabel,indicator,subComponent,component
2,Does the government publicly disclose data on extractive resource reserves?,Practice,Reserves volume disclosure,Reserves disclosure,Licensing,Value realization
3,How up-to-date is the publicly disclosed data on extractive resource reserves?,Practice,Reserves disclosure timeliness,Reserves disclosure,Licensing,Value realization
4,Is the data disclosed on extractive resource reserves machine-readable?,Practice,Reserves disclosure machine-readability,Reserves disclosure,Licensing,Value realization
169,Does a government agency maintain a publicly available registry of rights and license details (i.e. a cadastre)?,Practice,Cadastre coverage,Cadastre,Licensing,Value realization
45,"Is the publicly available registry of licenses/contracts available online, offline or in paper?",Practice,Cadastre platform,Cadastre,Licensing,Value realization
46,Does the publicly available registry of licenses/contracts cover areas/blocks?,Practice,Cadastre block coverage,Cadastre,Licensing,Value realization
47,Does the publicly available registry of licenses/contracts give the names of companies that hold an interest in a given area/block?,Practice,Cadastre interest holders,Cadastre,Licensing,Value realization
28,Is the government required to set pre-defined criteria by which companies become qualified to participate in a licensing process?,Law,Qualification criteria requirement,Pre-licensing round rules,Licensing,Value realization
32,"Prior to each licensing process, is the licensing authority required to disclose a list of biddable terms or negotiable terms?",Law,Biddable terms disclosure requirement,Pre-licensing round rules,Licensing,Value realization
34,"Prior to each license processes, is the licensing authority required to disclose the rules governing the licensing process, such as auction or negotiation rules?",Law,Licensing process requirement,Pre-licensing round rules,Licensing,Value realization
25,Is the licensing authority independent from the SOE?,Law,Licensing authority independence,Pre-licensing round rules,Licensing,Value realization
29,"From 2015 onwards, did the licensing authority publicly disclose minimum pre-defined criteria by which companies become qualified to participate in licensing processes?",Practice,Qualification criteria disclosure,Pre-licensing round practice,Licensing,Value realization
33,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose a list of biddable or negotiable terms?",Practice,Biddable terms disclosure,Pre-licensing round practice,Licensing,Value realization
35,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose the rules governing the licensing process, such as auction or negotiation rules?",Practice,Licensing process rule disclosure,Pre-licensing round practice,Licensing,Value realization
37,"Following each licensing process, is the licensing authority required to disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",Law,License applicant disclosure requirement,Post-licensing round rules,Licensing,Value realization
39,"Following each licensing process, is the licensing authority required to publicly disclose the identity of the winning bidder or applicant?",Law,License winner disclosure requirement,Post-licensing round rules,Licensing,Value realization
41,"Following the licensing process, is the licensing authority required to publicly disclose the list of areas or blocks allocated?",Law,Block allocation disclosure requirement,Post-licensing round rules,Licensing,Value realization
43,Are there rules that companies can follow to appeal licensing decisions?,Law,Licensing decision appeal requirement,Post-licensing round rules,Licensing,Value realization
38,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",Practice,License applicant disclosure,Post-licensing round practice,Licensing,Value realization
40,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the identity of the winning bidder/applicant?",Practice,License winner disclosure,Post-licensing round practice,Licensing,Value realization
42,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of areas/blocks allocated?",Practice,Block allocation disclosure,Post-licensing round practice,Licensing,Value realization
20,Are senior public officials required to publicly disclose their financial holdings in extractive companies?,Law,Public officials asset disclosure requirement,Financial interest disclosure rules,Licensing,Value realization
22,Do rules require public disclosure of beneficial owners of extractive companies?,Law,Beneficial ownership requirement,Financial interest disclosure rules,Licensing,Value realization
21,"From 2015 onwards, have senior public officials publicly disclosed their financial holdings in extractive companies?",Practice,Public officials asset disclosure,Financial interest disclosure practice,Licensing,Value realization
