country,sector,indicator,subComponent,component,score
Afghanistan,Mining,Control of corruption,Control of corruption,Enabling environment,9.7
Afghanistan,Mining,Government effectiveness,Government effectiveness,Enabling environment,12.1
Afghanistan,Mining,Political stability and absence of violence,Political stability and absence of violence,Enabling environment,2.4
Afghanistan,Mining,Regulatory quality,Regulatory quality,Enabling environment,24.3
Afghanistan,Mining,Rule of law,Rule of law,Enabling environment,4.8
Afghanistan,Mining,Voice and accountability,Voice and accountability,Enabling environment,29.2
Afghanistan,Mining,Fiscal rule practice,National budgeting,Revenue management,0
Afghanistan,Mining,Fiscal rules,National budgeting,Revenue management,0
Afghanistan,Mining,National budget disclosure,National budgeting,Revenue management,50
Afghanistan,Mining,National debt disclosure,National budgeting,Revenue management,100
Afghanistan,Mining,Online data portal,National budgeting,Revenue management,0
Afghanistan,Mining,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management,NaN
Afghanistan,Mining,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management,NaN
Afghanistan,Mining,SWF financial reporting practice,Sovereign wealth funds,Revenue management,NaN
Afghanistan,Mining,SWF financial reporting rules,Sovereign wealth funds,Revenue management,NaN
Afghanistan,Mining,SWF investment practice,Sovereign wealth funds,Revenue management,NaN
Afghanistan,Mining,SWF investment rules,Sovereign wealth funds,Revenue management,NaN
Afghanistan,Mining,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management,0
Afghanistan,Mining,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management,0
Afghanistan,Mining,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management,77.7
Afghanistan,Mining,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management,0
Afghanistan,Mining,Subnational transfer rules,Subnational resource revenue sharing,Revenue management,77.7
Afghanistan,Mining,Cadastre,Licensing,Value realization,0
Afghanistan,Mining,Contract disclosure,Licensing,Value realization,100
Afghanistan,Mining,Contract disclosure rules,Licensing,Value realization,0
Afghanistan,Mining,Financial interest disclosure practice,Licensing,Value realization,50
Afghanistan,Mining,Financial interest disclosure rules,Licensing,Value realization,10
Afghanistan,Mining,Post-licensing round practice,Licensing,Value realization,100
Afghanistan,Mining,Post-licensing round rules,Licensing,Value realization,25
Afghanistan,Mining,Pre-licensing round practice,Licensing,Value realization,66.66666666666667
Afghanistan,Mining,Pre-licensing round rules,Licensing,Value realization,50
Afghanistan,Mining,Reserves disclosure,Licensing,Value realization,56.666666666666664
Afghanistan,Mining,Compensation to land users and owners rules,Local impact,Value realization,100
Afghanistan,Mining,EIA/SIA disclosure,Local impact,Value realization,NaN
Afghanistan,Mining,EIA/SIA rules,Local impact,Value realization,60
Afghanistan,Mining,Environmental compliance practice,Local impact,Value realization,NaN
Afghanistan,Mining,Environmental compliance rules,Local impact,Value realization,50
Afghanistan,Mining,Environmental mitigation plan disclosure,Local impact,Value realization,NaN
Afghanistan,Mining,Environmental mitigation plan rules,Local impact,Value realization,50
Afghanistan,Mining,Commodity sale disclosures,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,Commodity sale rules,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE corporate governance practice,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE financial reporting practice,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE financial reporting rules,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE non-operational activity practice,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE production disclosure,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE-government transfers disclosure,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,SOE-government transfers rules,State-owned enterprises,Value realization,NaN
Afghanistan,Mining,Company payment disclosure,Taxation,Value realization,76.66666666666667
Afghanistan,Mining,Company payment rules,Taxation,Value realization,100
Afghanistan,Mining,EITI affiliation and reporting,Taxation,Value realization,60
Afghanistan,Mining,Export disclosure,Taxation,Value realization,NaN
Afghanistan,Mining,Production disclosure,Taxation,Value realization,NaN
