questionID,label,score,explaination,weight
66,a,100,Both EIAs and SIAs are required under law.,1
66,b,90,"Either EIAs or SIAs are required under law, with the other being required under a publicly documented policy.",1
66,c,50,"Either EIAs or SIAs are required under law, with the other not required at all.",1
66,d,50,Both EIAs and SIAs are required under a publicly documented policy.,1
66,e,20,"Either EIAs or SIAs are required under policy, with the other not required at all (i.e. neither under law nor under a publicly documented policy).",1
66,f,0,Neither EIAs nor SIAs are required.,1
66,g,NA,Not applicable/Other.,1
69,a,100,"Yes, the law requires extractive companies to prepare environmental mitigation management plans prior to project development.",1
69,b,50,"Yes, a publicly documented policy requires extractive companies to prepare environmental mitigation management plans prior to project development.",1
69,c,0,"No, extractive companies are not required to prepare environmental mitigation management plans prior to development.",1
69,d,NA,Not applicable/Other.,1
20,a,100,"Yes, the law requires senior public officials to disclose their financial holdings in extractive companies.",1
20,b,50,"Yes, a publicly documented policy requires that senior public officials disclose their financial holdings in extractive companies.",1
20,c,20,"No, senior public officials are not required to publicly disclose their financial holdings in extractive companies, but they are required to disclose their financial holdings to a government authority.",1
20,d,0,"No, senior public officials are not required to disclose their financial holdings in extractive companies.",1
20,e,NA,Not applicable/Other.,1
150,a,100,"Yes, the law includes numeric rules governing the size of deposits into the fund.",1
150,b,50,"Yes, a publicly documented policy includes numeric rules governing the size of deposits into the fund.",1
150,c,0,"No, there is no numeric rule governing the size of deposits into the fund.",1
150,d,NA,Not applicable/Other.,1
146,a,100,"Yes, the law includes numeric rules governing the size of withdrawals from the fund.",1
146,b,50,"Yes, a publicly documented policy includes numeric rules governing the size of withdrawals from the fund.",1
146,c,0,"No, there are no numeric rules governing the size of withdrawals from the fund.",1
146,d,NA,Not applicable/Other.,1
73,a,100,"Yes, the law specifies procedures governing compensation to landowners or land users when development interferes with their access to or use of land.",1
73,b,50,"Yes, a publicly documented policy specifies procedures governing compensation to landowners or land users when development interferes with their access to or use of land.",1
73,c,0,"No, there are no procedures governing compensation to landowners or land users when development interferes with their access to or use of land.",1
73,d,NA,Not applicable/Other.,1
82,a,100,"Yes, the law specifies the rules governing fiscal transfers between the government and the SOE.",1
82,b,50,"Yes, a publicly documented policy specifies the rules governing fiscal transfers between the government and the SOE.",1
82,c,0,"No, there are no rules governing fiscal transfers between the government and the SOE.",1
82,d,NA,Not applicable/Other.,1
77,a,100,"Yes, the law specifies procedures governing rehabilitation and closure of extractive projects.",1
77,b,50,"Yes, a publicly documented policy specifies procedures governing rehabilitation and closure of extractive projects.",1
77,c,0,"No, there are no procedures governing rehabilitation and closure of extractive projects.",1
77,d,NA,Not applicable/Other.,1
43,a,100,"Yes, the law includes procedures that companies can follow to appeal license/contract allocation decisions.",1
43,b,50,"Yes, a publicly documented policy includes procedures that companies can follow to appeal license/contract allocation decisions.",1
43,c,0,"No, rules do not include procedures that companies can follow to appeal license/contract allocation decisions.",1
43,d,NA,Not applicable/Other.,1
106,a,100,"Yes, there are rules that determine the prices at which the SOE should sell its production.",1
106,b,0,"No, there are no rules that determine the prices at which the SOE should sell its production.",1
106,c,0,No procedures exist for the SOE to follow when selling its share of production.,1
106,d,NA,Not applicable/Other.,1
107,a,100,"Yes, there are rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government.",1
107,b,0,"No, there are no rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government.",1
107,c,0,No procedures exist for the SOE to follow when selling its share of production.,1
107,d,NA,Not applicable/Other.,1
105,a,100,"Yes, there are rules that govern how the SOE should select the buyers of its share of production.",1
105,b,0,"No, there are no rules that govern how the SOE should select the buyers of its share of production.",1
105,c,0,No procedures exist for the SOE to follow when selling its share of production.,1
105,d,NA,Not applicable/Other.,1
109,a,100,"Yes, the law requires the SOE or government to publicly disclose information on the sale of production by the SOE.",1
109,b,50,"Yes, a publicly documented policy requires the SOE or government to publicly disclose information on the sale of production by the SOE.",1
109,c,0,"No, the SOE or government is not required to publicly disclose information on the sale of production by the SOE.",1
109,d,NA,Not applicable/Other.,1
75,a,100,"Yes, the law specifies procedures governing the resettlement of land users when project development interferes with their access to or use of land.",1
75,b,50,"Yes, a publicly documented policy specifies procedures governing the resettlement of land users when project development interferes with their access to or use of land.",1
75,c,0,"No, there are no procedures governing the resettlement of land users when project development interferes with their access to or use of land.",1
75,d,NA,Not applicable/Other.,1
99,a,100,"Yes, the SOE's annual financial statements were audited over the most recently completed audit timeframe, with no known exceptions.",1
99,b,0,"No, the SOE's annual financial statements were not audited over the most recently completed audit timeframe.",1
99,c,0,The SOE's annual financial statements are not subject to audits.,1
99,d,NA,Not applicable/Other.,1
98,a,100,"Yes, the law requires the SOE's annual financial statements to be periodically audited by an external body.",1
98,b,50,"Yes, a publicly documented policy requires the SOE's annual financial statements to be periodically audited by an external body.",1
98,c,0,"No, there are no rules requiring the SOE's annual financial statements to be periodically audited by an external body.",1
98,d,NA,Not applicable/Other.,1
165,a,100,"Yes, the law requires the fund's annual financial reports to be periodically audited.",1
165,b,50,"Yes, a publicly documented policy requires the fund's annual financial reports to be periodically audited.",1
165,c,0,"No, these annual financial reports are not subject to a periodic external audit.",1
165,d,NA,Not applicable/Other.,1
22,a,100,"Yes, the law requires public disclosure of beneficial owners of extractive companies.",1
22,b,50,"Yes, a publicly documented policy requires public disclosure of beneficial owners of extractive companies.",1
22,c,0,"No, there is no requirement to publicly disclose the beneficial owners of extractive companies.",1
22,d,NA,Not applicable/Other.,1
142,a,100,"Yes, the law requires that an external body periodically audit the transfers of extractive resource revenues to subnational governments.",0.777
142,b,50,"Yes, a publicly documented policy requires that an external body periodically audit the transfers of extractive resource revenues to subnational governments.",0.777
142,c,0,"No, there are no rules requiring an external audit of the transfers of extractive resource revenues to subnational governments.",0.777
142,d,NA,Not applicable/Other.,0.777
119,a,100,"Yes, the law requires that an external body periodically monitor the government's adherence to the fiscal rule.",1
119,b,50,"Yes, a publicly documented policy requires that an external body periodically monitor the government's adherence to the fiscal rule.",1
119,c,0,"No, there is no requirement for the government's adherence to the fiscal rule to be periodically monitored.",1
119,d,NA,Not applicable/Other.,1
148,a,100,"Yes, the law requires that withdrawals/spending from the fund pass through the national budget.",1
148,b,50,"Yes, a publicly documented policy requires that withdrawals/spending from the fund pass through the national budget.",1
148,c,0,"No, there are no requirements that withdrawals/spending from the fund pass through the national budget.",1
148,d,NA,Not applicable/Other.,1
